GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,Total; Estimate; All households - With earnings,Total; Margin of Error; All households - With earnings,Mean income (dollars); Estimate; All households - With earnings,Mean income (dollars); Margin of Error; All households - With earnings,"Total; Estimate; All households - With interest, dividends, or net rental income","Total; Margin of Error; All households - With interest, dividends, or net rental income","Mean income (dollars); Estimate; All households - With interest, dividends, or net rental income","Mean income (dollars); Margin of Error; All households - With interest, dividends, or net rental income",Total; Estimate; All households - With Social Security income,Total; Margin of Error; All households - With Social Security income,Mean income (dollars); Estimate; All households - With Social Security income,Mean income (dollars); Margin of Error; All households - With Social Security income,Total; Estimate; All households - With Supplemental Security Income (SSI),Total; Margin of Error; All households - With Supplemental Security Income (SSI),Mean income (dollars); Estimate; All households - With Supplemental Security Income (SSI),Mean income (dollars); Margin of Error; All households - With Supplemental Security Income (SSI),Total; Estimate; All households - With cash public assistance income,Total; Margin of Error; All households - With cash public assistance income,Mean income (dollars); Estimate; All households - With cash public assistance income,Mean income (dollars); Margin of Error; All households - With cash public assistance income,Total; Estimate; All households - With retirement income,Total; Margin of Error; All households - With retirement income,Mean income (dollars); Estimate; All households - With retirement income,Mean income (dollars); Margin of Error; All households - With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months
7950000US0600101,0600101,"Alameda County (North)--Berkeley & Albany Cities PUMA, California",50711,2199,108372,6777,84.6,2.0,98296,6458,35.9,2.6,36053,9469,23.3,2.1,18301,1598,2.7,0.9,8693,2417,1.6,0.6,3643,1423,14.6,1.6,41188,5015,26607,1550,146861,10497,10.0,2.3,80308,33173,34.7,3.9,130925,22598,39.0,4.0,186290,15250,11.2,3.1,101293,30250,3.9,1.3,184197,37762,1.1,0.8,187919,83934,139980,2229,40849,2892,60.4,2.7,50848,3802,7.9,1.6,20950,5366,0.6,0.3,29283,12658,19.4,2.3,31477,5031,0.1,0.2,N,N,4.2,1.3,21644,8419,7.3,1.6,16550,3736,11.1,1.8,20152,3495,54.9,2.5,54016,4021,26.1,(X),(X),(X),26.6,(X),(X),(X),20.8,(X),(X),(X)
7950000US0600102,0600102,"Alameda County (Northwest)--Oakland (Northwest) & Emeryville Cities PUMA, California",72812,2669,66483,2966,79.1,1.8,70571,3426,17.4,1.7,17822,5959,21.8,1.8,14417,800,8.3,1.4,10593,996,4.8,1.1,3577,532,11.5,1.3,21976,3264,30111,2294,70806,4665,10.9,2.3,24255,5534,37.4,4.0,53439,6654,30.0,3.8,111464,10057,15.8,3.4,53298,5935,3.3,1.6,124226,25327,2.6,1.1,87374,21785,164144,7288,30878,1501,37.5,2.9,43242,3078,24.0,2.5,22959,2462,1.7,0.7,15464,5758,21.9,2.2,25607,3025,0.4,0.3,17740,5873,8.8,2.2,17900,2832,5.6,1.3,28745,8670,19.6,2.6,19352,2644,29.3,2.2,49214,3293,29.3,(X),(X),(X),30.9,(X),(X),(X),26.4,(X),(X),(X)
7950000US0600103,0600103,"Alameda County (Northeast)--Oakland (East) & Piedmont Cities PUMA, California",53444,2121,147911,12077,82.7,2.4,144683,12626,41.7,2.7,33199,6642,26.0,2.9,19191,1359,3.5,1.2,11629,1721,2.0,0.9,5192,1453,19.0,2.4,37337,4248,32162,1824,184689,17113,9.4,2.3,100412,16965,28.9,3.5,141391,23699,47.0,4.0,237404,31230,8.6,2.7,119917,27049,5.2,1.4,204444,44964,0.8,0.6,208535,42112,128318,5397,62697,4826,56.0,3.0,79133,7238,15.4,2.0,43215,5797,0.4,0.3,39395,19474,14.7,1.8,49682,7485,0.6,0.4,N,N,4.5,1.7,18876,6645,8.4,1.4,37725,18537,9.2,2.1,25672,5146,52.5,2.8,81669,7588,30.6,(X),(X),(X),30.7,(X),(X),(X),24.5,(X),(X),(X)
7950000US0600104,0600104,"Alameda County (North Central)--Oakland City (South Central) PUMA, California",40204,1863,55859,3243,81.6,2.5,56195,3400,12.0,2.5,10499,2995,21.1,2.6,15108,1305,11.4,2.4,10199,1135,8.3,2.2,5073,1122,13.3,2.1,18349,3366,29189,1629,58498,3847,11.4,2.7,26683,9008,41.7,4.5,37496,3733,15.4,3.1,92162,15942,15.6,3.2,68513,9456,8.2,2.4,103027,12984,7.7,2.8,84502,15472,138525,6308,17234,1037,24.6,3.6,19283,3010,30.2,3.1,17733,1688,1.3,1.1,N,N,9.7,2.5,22070,4965,1.2,1.2,N,N,28.5,4.3,13723,1461,4.5,1.4,15052,5932,49.8,3.4,13423,1043,7.7,1.8,33871,7965,37.2,(X),(X),(X),37.8,(X),(X),(X),28.2,(X),(X),(X)
7950000US0600105,0600105,"Alameda County (West)--San Leandro, Alameda & Oakland (Southwest) Cities PUMA; California",64995,1989,91944,4545,81.9,2.2,93740,5270,22.6,2.4,19889,5598,24.3,2.4,17977,1338,6.2,1.7,10649,1504,1.9,0.7,4562,1561,17.0,1.8,26927,3747,43030,1479,107107,6448,10.2,2.0,66541,19210,31.3,3.9,83734,13378,34.4,3.7,138617,11733,10.8,2.1,86999,11599,9.7,2.4,132004,14187,3.6,1.6,117136,22886,171785,1282,35911,1754,46.3,3.2,44469,3189,10.3,2.0,25195,3801,0.9,0.5,21967,7439,28.2,2.9,34355,3183,1.5,0.8,28483,11556,6.1,2.1,18977,4064,6.7,1.2,18806,3294,21.8,2.8,23055,2439,34.0,2.5,51414,4035,27.2,(X),(X),(X),28.3,(X),(X),(X),20.9,(X),(X),(X)
7950000US0600106,0600106,"Alameda County (North Central)--Castro Valley, San Lorenzo & Ashland PUMA; California",47322,1976,82849,5201,77.8,3.0,86029,5398,20.6,2.4,13984,2812,29.7,3.0,17648,1191,6.6,1.8,9360,1709,2.9,1.3,4302,1779,19.1,2.3,28043,3685,33781,1777,91573,6537,14.6,2.8,42210,7607,32.8,3.9,64997,11366,30.5,4.0,129023,10233,9.3,2.3,79503,11907,9.2,2.3,140348,22086,3.6,1.8,123259,23360,139536,4976,29271,1807,54.7,3.8,31406,2318,10.5,2.6,19999,5964,0.4,0.2,22202,11723,22.3,3.2,33656,4102,0.8,0.5,31499,9900,5.8,1.6,18851,5105,5.4,1.4,19149,5604,32.0,3.6,17018,1961,31.3,2.9,42847,3775,37.3,(X),(X),(X),39.6,(X),(X),(X),29.6,(X),(X),(X)
7950000US0600107,0600107,"Alameda County (Central)--Hayward City PUMA, California",49118,1825,88732,5991,84.1,1.9,90700,6652,16.0,1.9,12000,3233,25.7,2.2,16409,1430,6.0,1.5,10950,1515,4.4,1.3,3751,1483,18.0,2.6,23225,3195,36428,1641,95943,7242,9.2,2.1,43110,9887,33.7,3.9,63494,10803,27.1,3.5,134951,15635,11.3,2.5,99235,20393,11.8,2.2,126116,13379,7.0,2.2,114028,21201,156841,2945,29185,2023,44.5,3.5,28732,3344,12.5,2.5,33440,9683,0.5,0.3,56724,19290,27.1,3.4,33259,2750,1.4,0.7,19021,3927,8.1,2.0,20029,3560,5.9,1.4,17836,6032,38.3,3.7,18741,1681,17.2,2.1,44999,5574,41.8,(X),(X),(X),44.3,(X),(X),(X),33.5,(X),(X),(X)
7950000US0600108,0600108,"Alameda County (Southwest)--Union City, Newark & Fremont (West) Cities PUMA; California",40825,1707,109301,4815,86.7,2.2,111562,5105,21.4,2.5,10344,2916,27.3,2.6,18124,1552,5.7,1.5,10355,1057,4.1,1.8,4042,860,15.5,2.5,23609,3171,34180,1422,117188,5578,9.4,2.2,42263,6947,28.4,2.8,82609,7421,33.3,2.9,158719,9919,11.4,2.7,87615,11441,11.7,2.8,169917,18179,5.9,1.6,120358,14506,142774,3906,32869,1556,21.2,2.7,39042,3665,5.3,1.6,28456,5474,0.3,0.2,12788,9867,53.2,3.7,35478,2202,1.0,0.6,34183,23123,12.9,2.7,21114,4059,6.2,1.4,18280,3878,21.6,3.0,21088,2725,15.1,2.5,45514,5595,18.2,(X),(X),(X),18.7,(X),(X),(X),13.9,(X),(X),(X)
7950000US0600109,0600109,"Alameda County (South Central)--Fremont City (East) PUMA, California",65544,1905,121585,4250,86.2,1.5,124582,4621,26.0,2.5,15487,3489,22.4,2.4,18934,1196,3.4,0.8,10699,2384,4.9,1.6,4265,895,11.7,1.6,35942,9594,51754,1667,130571,5049,8.8,1.5,60461,16604,32.1,3.0,107269,8096,38.6,3.0,168332,9482,9.0,1.7,107406,13723,8.3,1.5,153946,16838,3.2,1.4,106796,20060,203089,3819,40343,1689,27.6,2.5,44222,3375,3.9,1.2,26033,6917,0.6,0.3,31751,20882,52.4,2.9,44807,2475,1.0,0.5,26659,17261,9.0,2.6,22450,3579,5.6,1.5,21138,7554,15.2,2.6,23292,2878,23.4,2.0,47287,3863,19.3,(X),(X),(X),19.7,(X),(X),(X),16.0,(X),(X),(X)
