GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,Total; Estimate; All households - With earnings,Total; Margin of Error; All households - With earnings,Mean income (dollars); Estimate; All households - With earnings,Mean income (dollars); Margin of Error; All households - With earnings,"Total; Estimate; All households - With interest, dividends, or net rental income","Total; Margin of Error; All households - With interest, dividends, or net rental income","Mean income (dollars); Estimate; All households - With interest, dividends, or net rental income","Mean income (dollars); Margin of Error; All households - With interest, dividends, or net rental income",Total; Estimate; All households - With Social Security income,Total; Margin of Error; All households - With Social Security income,Mean income (dollars); Estimate; All households - With Social Security income,Mean income (dollars); Margin of Error; All households - With Social Security income,Total; Estimate; All households - With Supplemental Security Income (SSI),Total; Margin of Error; All households - With Supplemental Security Income (SSI),Mean income (dollars); Estimate; All households - With Supplemental Security Income (SSI),Mean income (dollars); Margin of Error; All households - With Supplemental Security Income (SSI),Total; Estimate; All households - With cash public assistance income,Total; Margin of Error; All households - With cash public assistance income,Mean income (dollars); Estimate; All households - With cash public assistance income,Mean income (dollars); Margin of Error; All households - With cash public assistance income,Total; Estimate; All households - With retirement income,Total; Margin of Error; All households - With retirement income,Mean income (dollars); Estimate; All households - With retirement income,Mean income (dollars); Margin of Error; All households - With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Estimate; PERCENT IMPUTED - Individual income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT IMPUTED - Individual income in the past 12 months
1600000US0600562,0600562,"Alameda city, California",30574,1220,109178,8462,80.4,3.1,114052,9910,27.1,3.3,24082,9393,23.0,2.9,18549,1864,6.0,2.3,11059,2848,2.0,1.0,5212,2886,14.6,2.5,33291,5566,20483,969,129605,11956,11.5,3.0,81266,33414,25.5,5.2,112520,30290,43.3,5.0,156088,16560,9.7,3.4,95713,15239,7.9,2.8,154737,24744,2.0,1.1,116849,36156,77661,34,43993,3103,50.9,4.2,55014,5363,5.4,1.6,31123,8748,0.1,0.2,N,N,30.9,4.4,38561,5187,0.9,0.6,38904,26301,3.3,2.0,18358,4912,8.5,2.4,16938,5139,11.4,3.4,25815,4722,44.9,3.7,58033,6197,23.0,(X),(X),(X),24.0,(X),(X),(X),17.3,(X),(X),(X)
1600000US0600884,0600884,"Alhambra city, California",27880,1385,66978,4953,84.0,2.7,68091,5570,14.2,2.4,8828,2477,28.7,4.1,12731,1374,9.7,2.4,11394,1863,2.1,1.0,3857,2577,10.8,2.9,26297,6198,20028,1084,72709,5761,8.1,2.0,32112,9806,42.4,5.1,52829,6421,20.4,3.7,96697,11799,15.4,3.6,78643,12164,8.8,3.1,118055,21031,4.9,2.2,112288,39304,85585,66,23334,1619,21.6,3.9,26606,4361,1.9,1.0,18857,8095,0.4,0.5,N,N,51.3,5.3,23008,2503,0.3,0.4,N,N,21.4,4.1,21522,3648,3.2,1.4,16759,8412,35.1,4.5,21628,2665,9.8,2.7,31664,8850,41.3,(X),(X),(X),45.8,(X),(X),(X),33.1,(X),(X),(X)
1600000US0602000,0602000,"Anaheim city, California",99402,3185,85109,3879,85.3,1.6,83989,3929,14.8,1.6,30916,10408,22.7,1.9,17002,879,5.5,1.0,8934,1119,3.6,0.9,5698,1015,12.4,1.4,26623,3426,76703,2353,89443,4690,9.7,1.5,45821,13167,28.9,2.5,62032,8379,27.9,2.5,122462,10242,12.7,1.8,81383,12997,11.4,1.6,126187,9136,9.5,1.9,87229,10708,346961,140,25713,1305,69.3,2.2,24810,1703,2.0,0.5,27822,6662,0.2,0.1,N,N,18.1,1.8,33509,3358,0.2,0.2,19458,5737,6.4,1.6,16660,3882,3.8,0.9,20310,4626,52.1,2.5,14977,872,25.4,1.8,41645,3584,45.4,(X),(X),(X),44.4,(X),(X),(X),33.9,(X),(X),(X)
1600000US0602252,0602252,"Antioch city, California",34536,2024,75732,5576,80.8,3.6,74714,5998,15.0,3.4,18036,10326,26.1,3.6,17139,1590,9.3,2.7,10072,1821,4.6,2.3,4376,950,22.4,4.2,24005,4015,25686,1451,82305,6800,11.3,3.3,45969,11825,38.7,5.5,62759,8788,22.0,4.4,118876,19818,12.2,3.4,62404,11252,9.2,2.9,131838,18550,6.6,3.0,105119,11220,108953,82,24822,2153,46.9,4.6,29017,3585,21.3,3.5,22317,4133,0.7,0.7,14589,6422,10.3,3.2,30404,7517,1.3,1.3,N,N,10.5,3.4,20841,5891,9.0,2.3,10311,4188,31.5,3.8,18466,2213,31.8,3.9,33372,4745,28.3,(X),(X),(X),28.3,(X),(X),(X),23.3,(X),(X),(X)
1600000US0602364,0602364,"Apple Valley town, California",23822,1644,71022,11980,68.7,4.9,69677,9754,14.3,3.3,36191,36415,37.4,4.7,18499,1930,10.8,3.6,11241,1628,7.5,3.1,5531,1601,22.0,4.1,28058,4879,17912,1100,81645,15107,21.2,5.0,43761,7985,40.7,6.4,86836,34359,19.7,4.8,104890,18283,7.5,2.6,93318,19911,9.0,3.5,82805,21863,1.8,1.4,101774,37516,71586,41,24353,4046,84.6,3.7,21872,2113,5.0,2.2,23295,5885,0.4,0.6,N,N,4.4,2.2,87967,97252,0.1,0.1,N,N,2.8,1.5,15440,5791,2.8,1.2,10960,6629,31.1,5.8,15408,2789,58.1,5.5,24642,2761,22.0,(X),(X),(X),24.1,(X),(X),(X),17.2,(X),(X),(X)
1600000US0602553,0602553,"Arden-Arcade CDP, California",40282,2399,72950,5913,73.7,3.0,71980,6972,20.1,3.2,25295,9565,27.0,3.3,17676,1322,9.4,2.7,10218,1059,5.2,2.1,5042,1116,20.5,2.9,39111,7220,23148,1873,93487,9477,19.6,3.9,59282,10257,38.3,5.4,77460,15362,31.9,5.4,133275,21396,5.8,2.3,92012,28300,3.2,1.9,112426,17706,1.3,0.9,62066,12956,99903,7240,30282,2903,66.7,5.0,35456,3667,7.8,2.1,16395,4520,0.3,0.2,26540,15575,7.5,2.3,29355,8511,0.1,0.1,N,N,12.1,4.4,13784,5176,5.5,1.6,24980,14797,22.0,4.4,19994,5841,58.8,4.9,37157,4023,27.2,(X),(X),(X),30.9,(X),(X),(X),21.7,(X),(X),(X)
1600000US0603526,0603526,"Bakersfield city, California",114774,2756,74492,2886,83.4,1.8,75604,2936,12.9,1.5,11786,2091,23.3,1.6,15923,993,6.3,1.1,10167,896,5.0,0.9,4198,663,12.6,1.3,32432,5308,86156,2747,79191,3475,12.0,2.0,35859,4473,38.4,2.5,66039,6492,28.0,2.9,106923,7973,11.5,1.8,69027,7627,8.3,1.4,117035,11211,1.8,0.7,106499,28893,368748,55,24006,1045,70.4,2.0,26029,1389,7.2,0.9,17214,2859,1.7,0.8,14169,5817,6.2,0.9,28243,5461,0.2,0.1,11682,8528,9.6,1.6,17512,2166,4.7,1.0,15780,4064,49.1,1.8,16025,1020,34.8,1.7,36401,2257,32.5,(X),(X),(X),31.6,(X),(X),(X),23.8,(X),(X),(X)
1600000US0603666,0603666,"Baldwin Park city, California",19153,1243,59234,4851,87.9,3.3,58512,4938,6.1,1.8,10100,4474,27.6,4.4,16251,1929,7.3,2.8,8201,1123,2.4,1.1,5088,1919,8.2,2.3,18117,5761,16438,1037,62141,4967,7.5,3.0,28073,11528,38.9,6.1,47857,7827,17.9,4.7,81186,11131,15.3,3.7,56714,8003,9.1,2.8,102560,18864,11.3,3.6,78474,10357,77134,47,16133,1180,26.5,4.3,17097,2020,3.2,2.1,18101,8188,0.3,0.3,N,N,21.1,4.0,18875,2747,0.4,0.6,N,N,46.0,5.9,14327,1857,2.4,1.4,14317,4169,N,N,N,N,N,N,N,N,31.4,(X),(X),(X),31.3,(X),(X),(X),23.6,(X),(X),(X)
1600000US0604982,0604982,"Bellflower city, California",23975,1314,60288,3313,83.8,2.9,60581,3863,10.9,2.5,12219,5440,24.7,3.9,17497,1815,8.3,2.8,9193,2264,3.2,1.6,3045,1419,12.7,2.9,17133,3514,17338,809,66483,4476,7.8,2.9,37500,12519,38.4,5.5,54732,6409,23.7,3.7,76597,8107,15.1,4.5,60038,9073,8.1,2.6,106758,13482,6.8,2.8,97641,20397,78246,47,19889,1305,33.9,4.0,23643,2099,12.3,3.0,22587,3913,0.3,0.3,N,N,14.5,3.4,21122,3468,0.2,0.3,N,N,34.2,5.0,15375,2190,4.6,2.0,13815,4567,53.3,4.6,15945,1617,19.0,3.2,28037,2624,28.6,(X),(X),(X),28.5,(X),(X),(X),23.2,(X),(X),(X)
